FIPS,County_Name,county,precinct_id,dem,rep,third,total,pct_dem,pct_rep,pct_third,pct_margin,pop,med_age,med_inc,med_home_val,white_pop,black_pop,native_pop,asian_pop,hispanic_pop,hispanic_total,male_pop,masters_plus,bachelors_plus,stem_fields
37001,ALAMANCE,ALAMANCE,126,17468.0,20397.0,9927.0,47792.0,36.55,42.68,20.77,-6.13,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,127,52747.0,21616.0,16815.0,91178.0,57.85,23.71,18.44,34.14,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,128,19765.0,8993.0,7265.0,36023.0,54.87,24.96,20.17,29.91,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,129,14229.0,20786.0,8454.0,43469.0,32.73,47.82,19.45,-15.09,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,12E,16428.0,7836.0,6158.0,30422.0,54.0,25.76,20.24,28.24,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,12N,44449.0,10544.0,13251.0,68244.0,65.13,15.45,19.42,49.68,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,12S,12224.0,6864.0,4965.0,24053.0,50.82,28.54,20.64,22.28,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,12W,22271.0,15822.0,9838.0,47931.0,46.46,33.01,20.53,13.45,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37001,ALAMANCE,ALAMANCE,13,39576.0,31987.0,13404.0,84967.0,46.58,37.65,15.78,8.93,179165.0,39.4,65633.0,265200.0,104830.0,36910.0,1089.0,3291.0,27657.0,179165.0,87140.0,11760.0,23628.0,19891.0
37003,ALEXANDER,ALEXANDER,B1,10237.0,50694.0,9867.0,70798.0,14.46,71.6,13.94,-57.14,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,B2,11953.0,59983.0,11966.0,83902.0,14.25,71.49,14.26,-57.24,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,E,7424.0,40828.0,7843.0,56095.0,13.23,72.78,13.98,-59.55,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,G1G2,4094.0,28364.0,5027.0,37485.0,10.92,75.67,13.41,-64.75,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,LRSL,4094.0,34405.0,6141.0,44640.0,9.17,77.07,13.76,-67.9,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,M,5217.0,28973.0,5412.0,39602.0,13.17,73.16,13.67,-59.99,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,S1S2,6776.0,45099.0,8302.0,60177.0,11.26,74.94,13.8,-63.68,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,T1T4T5,12166.0,61183.0,9504.0,82853.0,14.68,73.85,11.47,-59.17,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,T2T3,10230.0,41887.0,6740.0,58857.0,17.38,71.17,11.45,-53.79,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37003,ALEXANDER,ALEXANDER,W,5092.0,32089.0,6037.0,43218.0,11.78,74.25,13.97,-62.47,36473.0,44.5,57006.0,223900.0,31374.0,1899.0,19.0,168.0,2118.0,36473.0,19281.0,1616.0,2009.0,5958.0
37005,ALLEGHANY,,,,,,,,,,,,,,,,,,,,,,,,
37007,ANSON,ANSON,ANS,7559.0,7816.0,2868.0,18243.0,41.44,42.84,15.72,-1.4,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,BURN,6099.0,14644.0,4503.0,25246.0,24.16,58.01,17.84,-33.85,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,GULL,8925.0,6220.0,2420.0,17565.0,50.81,35.41,13.78,15.4,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,LILE,19479.0,12075.0,3996.0,35550.0,54.79,33.97,11.24,20.82,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,MM,13007.0,3601.0,2511.0,19119.0,68.03,18.83,13.13,49.2,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,PEAC,4951.0,13915.0,2847.0,21713.0,22.8,64.09,13.11,-41.29,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,POLK,5239.0,6510.0,1634.0,13383.0,39.15,48.64,12.21,-9.49,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,WADES,53735.0,26521.0,10948.0,91204.0,58.92,29.08,12.0,29.84,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37007,ANSON,ANSON,WS,1754.0,3064.0,785.0,5603.0,31.3,54.68,14.01,-23.38,21897.0,44.5,50153.0,152100.0,9634.0,9832.0,280.0,117.0,460.0,21897.0,10844.0,482.0,865.0,5176.0
37009,ASHE,ASHE,02,4747.0,18259.0,2220.0,25226.0,18.82,72.38,8.8,-53.56,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,03,1903.0,6773.0,778.0,9454.0,20.13,71.64,8.23,-51.51,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,04,3394.0,5580.0,863.0,9837.0,34.5,56.72,8.77,-22.22,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,06,1985.0,7289.0,863.0,10137.0,19.58,71.9,8.51,-52.32,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,07,1866.0,4585.0,628.0,7079.0,26.36,64.77,8.87,-38.41,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,08,1141.0,2658.0,381.0,4180.0,27.3,63.59,9.11,-36.29,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,09,16492.0,45947.0,6248.0,68687.0,24.01,66.89,9.1,-42.88,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,10,863.0,3212.0,375.0,4450.0,19.39,72.18,8.43,-52.79,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,11,9161.0,28031.0,3644.0,40836.0,22.43,68.64,8.92,-46.21,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,12,3200.0,8208.0,986.0,12394.0,25.82,66.23,7.96,-40.41,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,13,5874.0,16411.0,2171.0,24456.0,24.02,67.1,8.88,-43.08,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,14,13783.0,30570.0,4330.0,48683.0,28.31,62.79,8.89,-34.48,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,15,2916.0,14163.0,1650.0,18729.0,15.57,75.62,8.81,-60.05,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,16,12024.0,30318.0,3992.0,46334.0,25.95,65.43,8.62,-39.48,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,17,2764.0,11050.0,1289.0,15103.0,18.3,73.16,8.53,-54.86,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,18,602.0,2039.0,234.0,2875.0,20.94,70.92,8.14,-49.98,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37009,ASHE,ASHE,20,15184.0,38759.0,5316.0,59259.0,25.62,65.41,8.97,-39.79,27063.0,50.5,55234.0,276500.0,,,,,1657.0,27063.0,13155.0,1527.0,4663.0,5121.0
37011,AVERY,,,,,,,,,,,,,,,,,,,,,,,,
37013,BEAUFORT,BEAUFORT,ABSENTEE,8333.0,9477.0,1760.0,19570.0,42.58,48.43,8.99,-5.85,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,AUROR,2430.0,2272.0,480.0,5182.0,46.89,43.84,9.26,3.05,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,BEADM,936.0,4984.0,542.0,6462.0,14.48,77.13,8.39,-62.65,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,BELHV,1822.0,2892.0,610.0,5324.0,34.22,54.32,11.46,-20.1,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,BLCK,1915.0,2154.0,406.0,4475.0,42.79,48.13,9.07,-5.34,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,CHOCO,3868.0,6700.0,1068.0,11636.0,33.24,57.58,9.18,-24.34,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,EDWAR,2014.0,2915.0,470.0,5399.0,37.3,53.99,8.71,-16.69,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,EV-AUR,6164.0,7572.0,1295.0,15031.0,41.01,50.38,8.62,-9.37,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,EV-BEL,8816.0,20860.0,3191.0,32867.0,26.82,63.47,9.71,-36.65,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,EV-BOE,95706.0,176045.0,24730.0,296481.0,32.28,59.38,8.34,-27.1,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,EV-CHO,29582.0,76795.0,9684.0,116061.0,25.49,66.17,8.34,-40.68,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,GILEA,1082.0,2528.0,352.0,3962.0,27.31,63.81,8.88,-36.5,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,HB,611.0,4918.0,499.0,6028.0,10.14,81.59,8.28,-71.45,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,NCRK,1683.0,6596.0,908.0,9187.0,18.32,71.8,9.88,-53.48,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,OLDF,2680.0,4892.0,704.0,8276.0,32.38,59.11,8.51,-26.73,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,PANTE,1607.0,5138.0,694.0,7439.0,21.6,69.07,9.33,-47.47,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,PINET,850.0,6329.0,596.0,7775.0,10.93,81.4,7.67,-70.47,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,PROVISIONAL,1285.0,1446.0,275.0,3006.0,42.75,48.1,9.15,-5.35,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
37013,BEAUFORT,BEAUFORT,PSJW3,4165.0,961.0,492.0,5618.0,74.14,17.11,8.76,57.03,44481.0,47.3,55103.0,230100.0,30167.0,7957.0,155.0,240.0,3517.0,44481.0,21387.0,2860.0,4367.0,7540.0
