county,precinct_id,dem,rep,third,total,pct_dem,pct_rep,pct_third,pct_margin
HALIFAX,LIT,8815,4630,1252,14697,59.98,31.5,8.52,28.48
HALIFAX,PROVISIONAL,1465,589,202,2256,64.94,26.11,8.95,38.83
HALIFAX,RINGW,5536,444,448,6428,86.12,6.91,6.97,79.21
HALIFAX,RR 10,5330,4397,1103,10830,49.22,40.6,10.18,8.62
HALIFAX,RR 11,5165,4267,822,10254,50.37,41.61,8.02,8.76
HALIFAX,RR1-2,2442,1867,421,4730,51.63,39.47,8.9,12.16
HALIFAX,RR3-4,4106,4339,787,9232,44.48,47.0,8.52,-2.52
HALIFAX,RR7-9,11535,3259,1262,16056,71.84,20.3,7.86,51.54
HALIFAX,RRCE,6489,6144,1142,13775,47.11,44.6,8.29,2.51
HALIFAX,SN,6968,2120,759,9847,70.76,21.53,7.71,49.23
HALIFAX,WEL 3,5237,1369,1110,7716,67.87,17.74,14.39,50.13
HALIFAX,WEL1-2,4558,1009,1051,6618,68.87,15.25,15.88,53.62
HARNETT,PR01,67131,122882,13790,203803,32.94,60.29,6.77,-27.35
HARNETT,PR07,82184,167496,18385,268065,30.66,62.48,6.86,-31.82
HARNETT,PR08,60079,125236,13698,199013,30.19,62.93,6.88,-32.74
HARNETT,PR16,36684,72749,7982,117415,31.24,61.96,6.8,-30.72
HARNETT,PR20,22863,32370,3743,58976,38.77,54.89,6.35,-16.12
HARNETT,PR23,31837,94722,9716,136275,23.36,69.51,7.13,-46.15
HARNETT,PR24,29714,111535,9682,150931,19.69,73.9,6.41,-54.21
HARNETT,PR25,22090,38787,3990,64867,34.05,59.79,6.15,-25.74
HARNETT,PR26,20059,62693,5586,88338,22.71,70.97,6.32,-48.26
HARNETT,PR28,48783,128835,12940,190558,25.6,67.61,6.79,-42.01
HARNETT,PR29,27014,64263,6238,97515,27.7,65.9,6.4,-38.2
HARNETT,PR31,19293,28161,3346,50800,37.98,55.44,6.59,-17.46
HARNETT,PR32,25194,69530,6654,101378,24.85,68.58,6.56,-43.73
HAYWOOD,ABSENTEE,20559,15358,8327,44244,46.47,34.71,18.82,11.76
HAYWOOD,AC,14331,23962,9202,47495,30.17,50.45,19.37,-20.28
HAYWOOD,BC,115,257,82,454,25.33,56.61,18.06,-31.28
HAYWOOD,BE-1,6749,16830,5758,29337,23.01,57.37,19.63,-34.36
HAYWOOD,BE-2,7028,14840,5474,27342,25.7,54.28,20.02,-28.58
HAYWOOD,BE-3,11565,22880,8411,42856,26.99,53.39,19.63,-26.4
HAYWOOD,BE-4,11376,19995,7551,38922,29.23,51.37,19.4,-22.14
HAYWOOD,BE-7,6029,16800,5828,28657,21.04,58.62,20.34,-37.58
HAYWOOD,BE56,13676,18781,8049,40506,33.76,46.37,19.87,-12.61
HAYWOOD,CE,1451,5756,1728,8935,16.24,64.42,19.34,-48.18
HAYWOOD,CL-N,13470,25276,11093,49839,27.03,50.72,22.26,-23.69
HAYWOOD,CL-S,15750,28907,12178,56835,27.71,50.86,21.43,-23.15
HAYWOOD,CR,10293,19730,6734,36757,28.0,53.68,18.32,-25.68
HAYWOOD,EF,5265,16532,5287,27084,19.44,61.04,19.52,-41.6
HAYWOOD,FC-1,4503,9614,3152,17269,26.08,55.67,18.25,-29.59
HAYWOOD,FC-2,1104,1857,665,3626,30.45,51.21,18.34,-20.76
HAYWOOD,HA,8091,10365,4332,22788,35.51,45.48,19.01,-9.97
